name.common,name.official,name.nativeName.eng.common,common_native_name,region,currencies
South Georgia,South Georgia and the South Sandwich Islands,South Georgia,"South Georgia, South Georgia",Antarctic,£
Grenada,Grenada,Grenada,"Grenada, Grenada",Americas,$
Switzerland,Swiss Confederation,,"Switzerland, Suisse, Schweiz, Svizzera, Svizra",Europe,Fr.
Sierra Leone,Republic of Sierra Leone,Sierra Leone,"Sierra Leone, Sierra Leone",Africa,Le
Hungary,Hungary,,"Hungary, Magyarország",Europe,Ft
Taiwan,Republic of China (Taiwan),,"Taiwan, 台灣",Asia,$
Wallis and Futuna,Territory of the Wallis and Futuna Islands,,"Wallis and Futuna, Wallis et Futuna",Oceania,₣
Barbados,Barbados,Barbados,"Barbados, Barbados",Americas,$
Pitcairn Islands,Pitcairn Group of Islands,Pitcairn Islands,"Pitcairn Islands, Pitcairn Islands",Oceania,$
Ivory Coast,Republic of Côte d'Ivoire,,"Ivory Coast, Côte d'Ivoire",Africa,Fr
Tunisia,Tunisian Republic,,"Tunisia, تونس",Africa,د.ت
Italy,Italian Republic,,"Italy, Italia",Europe,€
Benin,Republic of Benin,,"Benin, Bénin",Africa,Fr
Indonesia,Republic of Indonesia,,"Indonesia, Indonesia",Asia,Rp
Cape Verde,Republic of Cabo Verde,,"Cape Verde, Cabo Verde",Africa,Esc
Saint Kitts and Nevis,Federation of Saint Christopher and Nevis,Saint Kitts and Nevis,"Saint Kitts and Nevis, Saint Kitts and Nevis",Americas,$
Laos,Lao People's Democratic Republic,,"Laos, ສປປລາວ",Asia,₭
Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba",,"Caribbean Netherlands, Caribisch Nederland, Boneiru, Sint Eustatius y Saba",Americas,$
Uganda,Republic of Uganda,Uganda,"Uganda, Uganda, Uganda",Africa,Sh
Andorra,Principality of Andorra,,"Andorra, Andorra",Europe,€
Burundi,Republic of Burundi,,"Burundi, Burundi, Uburundi",Africa,Fr
South Africa,Republic of South Africa,South Africa,"South Africa, South Africa, South Africa, Sewula Afrika, Afrika-Borwa, Afrika Borwa, Ningizimu Afrika, Aforika Borwa, Afrika Dzonga, Afurika Tshipembe, Mzantsi Afrika, Ningizimu Afrika",Africa,R
France,French Republic,,"France, France",Europe,€
Libya,State of Libya,,"Libya, ‏ليبيا",Africa,ل.د
Mexico,United Mexican States,,"Mexico, México",Americas,$
Gabon,Gabonese Republic,,"Gabon, Gabon",Africa,Fr
Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,Northern Mariana Islands,"Northern Mariana Islands, Northern Mariana Islands, Northern Mariana Islands, Na Islas Mariånas",Oceania,$
North Macedonia,Republic of North Macedonia,,"North Macedonia, Македонија",Europe,den
China,People's Republic of China,,"China, 中国",Asia,¥
Yemen,Republic of Yemen,,"Yemen, اليَمَن",Asia,﷼
Saint Barthélemy,Collectivity of Saint Barthélemy,,"Saint Barthélemy, Saint-Barthélemy",Americas,€
Guernsey,Bailiwick of Guernsey,Guernsey,"Guernsey, Guernsey, Guernesey, Dgèrnésiais",Europe,"£,£"
Solomon Islands,Solomon Islands,Solomon Islands,"Solomon Islands, Solomon Islands",Oceania,$
Svalbard and Jan Mayen,Svalbard og Jan Mayen,,"Svalbard and Jan Mayen, Svalbard og Jan Mayen",Europe,kr
Faroe Islands,Faroe Islands,,"Faroe Islands, Færøerne, Føroyar",Europe,"kr,kr"
Uzbekistan,Republic of Uzbekistan,,"Uzbekistan, Узбекистан, O‘zbekiston",Asia,so'm
Egypt,Arab Republic of Egypt,,"Egypt, مصر",Africa,£
Senegal,Republic of Senegal,,"Senegal, Sénégal",Africa,Fr
Sri Lanka,Democratic Socialist Republic of Sri Lanka,,"Sri Lanka, ශ්‍රී ලංකාව, இலங்கை",Asia,Rs  රු
Palestine,State of Palestine,,"Palestine, فلسطين",Asia,"E£,₪,JD"
Bangladesh,People's Republic of Bangladesh,,"Bangladesh, বাংলাদেশ",Asia,৳
Peru,Republic of Peru,,"Peru, Perú, Piruw, Piruw",Americas,S/ 
Singapore,Republic of Singapore,Singapore,"Singapore, Singapore, 新加坡, சிங்கப்பூர், Singapura",Asia,$
Turkey,Republic of Turkey,,"Turkey, Türkiye",Asia,₺
Afghanistan,Islamic Republic of Afghanistan,,"Afghanistan, افغانستان, افغانستان, Owganystan",Asia,؋
Aruba,Aruba,,"Aruba, Aruba, Aruba",Americas,ƒ
Cook Islands,Cook Islands,Cook Islands,"Cook Islands, Cook Islands, Kūki 'Āirani",Oceania,"$,$"
United Kingdom,United Kingdom of Great Britain and Northern Ireland,United Kingdom,"United Kingdom, United Kingdom",Europe,£
Zambia,Republic of Zambia,Zambia,"Zambia, Zambia",Africa,ZK
Finland,Republic of Finland,,"Finland, Suomi, Finland",Europe,€
Niger,Republic of Niger,,"Niger, Niger",Africa,Fr
Christmas Island,Territory of Christmas Island,Christmas Island,"Christmas Island, Christmas Island",Oceania,$
Tokelau,Tokelau,Tokelau,"Tokelau, Tokelau, Tokelau, Tokelau",Oceania,$
